Paper_ID,Author_ID,Author_Name,Author_Position,Is_Corresponding,Institution_IDs,Institution_Names
W2150449738,A5005319110,Roberto Sabbatini,last,False,I103737770,Bank of Italy
W3096125752,A5009825115,Rishabh Kirpalani,first,True,I1321305853|I135310074|I40347166|I57206974,National Bureau of Economic Research|University of Wisconsin–Madison|University of Chicago|New York University
W3096125752,A5105003187,Thomas Philippon,last,False,I1321305853|I135310074|I40347166|I57206974,National Bureau of Economic Research|University of Wisconsin–Madison|University of Chicago|New York University
W3008256197,A5079311115,Guy Aridor,first,True,I111979921|I1321305853|I4210110987|I78577930,Northwestern University|National Bureau of Economic Research|IIT@MIT|Columbia University
W3008256197,A5060447177,Yeon‐Koo Che,middle,False,I111979921|I1321305853|I4210110987|I78577930,Northwestern University|National Bureau of Economic Research|IIT@MIT|Columbia University
W3008256197,A5022162716,Tobias Salz,last,False,I111979921|I1321305853|I4210110987|I78577930,Northwestern University|National Bureau of Economic Research|IIT@MIT|Columbia University
W2950902070,A5101951074,Soumya Sen,first,True,I20089843,Princeton University
W2950902070,A5085243096,Carlee Joe‐Wong,middle,False,I20089843,Princeton University
W2950902070,A5023497481,Sangtae Ha,middle,False,I20089843,Princeton University
W2950902070,A5110782105,Mung Chiang,last,False,I20089843,Princeton University
W3117086259,A5103087822,Arnoud W. A. Boot,first,False,I887064364,University of Amsterdam
W3117086259,A5101837822,Peter Hoffmann,middle,True,I153515283,European Central Bank
W3117086259,A5012755577,Luc Laeven,middle,False,I153515283,European Central Bank
W3117086259,A5113968324,Lev Ratnovski,last,False,I153515283,European Central Bank
W2982407593,A5072627238,Zhipeng Cai,first,True,I181565077,Georgia State University
W2982407593,A5058049017,Zaobo He,last,False,I83328450,Miami University
W2906578628,A5068099757,Ikram Ud Din,first,True,I2801349156,University of Haripur
W2906578628,A5057916222,Mohsen Guizani,middle,False,I60342839,Qatar University
W2906578628,A5025967682,Suhaidi Hassan,middle,False,I94625822,Northern University of Malaysia
W2906578628,A5006531094,Byung-Seo Kim,middle,False,I94588446,Hongik University
W2906578628,A5072011650,Muhammad Khurram Khan,middle,False,I28022161,King Saud University
W2906578628,A5084074039,Mohammed Atiquzzaman,middle,False,I8692664,University of Oklahoma
W2906578628,A5108137051,Syed Hassan Ahmed,last,False,I39815113,Georgia Southern University
W4288391541,A5033991515,Khyati Kapadiya,first,True,I165831266,Nirma University
W4288391541,A5013786715,Usha Patel,middle,False,I165831266,Nirma University
W4288391541,A5058080028,Rajesh Gupta,middle,False,I165831266,Nirma University
W4288391541,A5027946901,Mohammad Dahman Alshehri,middle,False,I179331831,Taif University
W4288391541,A5089077811,Sudeep Tanwar,middle,False,I165831266,Nirma University
W4288391541,A5022261598,Gulshan Sharma,middle,False,I24027795,University of Johannesburg
W4288391541,A5079866137,Pitshou N. Bokoro,last,False,I24027795,University of Johannesburg
W2956647116,A5088263564,Wei Xiong,first,True,I113940042,Shanghai University
W2956647116,A5078394535,Li Xiong,last,False,I113940042,Shanghai University
W3113404185,A5103061575,Ayesha Sadiq,first,True,I16076960,COMSATS University Islamabad
W3113404185,A5037497109,Muhammad Umar Javed,middle,False,I16076960,COMSATS University Islamabad
W3113404185,A5032253604,Rabiya Khalid,middle,False,I16076960,COMSATS University Islamabad
W3113404185,A5089600920,Ahmad Almogren,middle,False,I28022161,King Saud University
W3113404185,A5040905393,Muhammad Shafiq,middle,False,I55240360,Yeungnam University
W3113404185,A5055380996,Nadeem Javaid,last,False,I16076960,COMSATS University Islamabad
W4390728454,A5101924543,Ziming Liu,first,True,I9224756,Northeastern University
W4390728454,A5028732904,Bonan Huang,middle,False,I9224756,Northeastern University
W4390728454,A5008665053,Yushuai Li,middle,False,I184942183,University of Oslo
W4390728454,A5021659366,Qiuye Sun,middle,False,I9224756,Northeastern University
W4390728454,A5061064237,Torben Bach Pedersen,middle,False,I891191580,Aalborg University
W4390728454,A5102774911,Wenzhong Gao,last,False,I131651094,University of Denver
W4293428560,A5015926564,Vishwa Amitkumar Patel,first,True,None,None
W4293428560,A5053527968,Pronaya Bhattacharya,middle,False,I165831266,Nirma University
W4293428560,A5089077811,Sudeep Tanwar,middle,False,I165831266,Nirma University
W4293428560,A5058080028,Rajesh Gupta,middle,False,I165831266,Nirma University
W4293428560,A5022261598,Gulshan Sharma,middle,False,I24027795,University of Johannesburg
W4293428560,A5079866137,Pitshou N. Bokoro,middle,False,I24027795,University of Johannesburg
W4293428560,A5056113902,Ravi Sharma,last,False,I5847235,University of Petroleum and Energy Studies
W4360991875,A5053397554,Avi Goldfarb,first,True,I185261750,University of Toronto
W4360991875,A5091633322,Verina F. Que,last,False,I185261750,University of Toronto
W4226305897,A5064176949,Antragama Ewa Abbas,first,True,I98358874,Delft University of Technology
W4226305897,A5085380918,Wirawan Agahari,middle,False,I98358874,Delft University of Technology
W4226305897,A5038499390,Montijn van de Ven,middle,False,I83019370,Eindhoven University of Technology
W4226305897,A5057024015,Anneke Zuiderwijk,middle,False,I98358874,Delft University of Technology
W4226305897,A5053800383,Mark de Reuver,last,False,I98358874,Delft University of Technology
W4312395603,A5015181840,Jie Song,first,True,I20231570,Peking University
W4312395603,A5078098542,Guannan He,middle,False,I20231570,Peking University
W4312395603,A5100783880,Jianxiao Wang,middle,False,I20231570,Peking University
W4312395603,A5112856088,Pingwen Zhang,last,False,I20231570,Peking University
W3002742063,A5021530908,Mazin Debe,first,True,I176601375,Khalifa University of Science and Technology
W3002742063,A5028133110,Khaled Salah,middle,False,I176601375,Khalifa University of Science and Technology
W3002742063,A5056165063,Muhammad Habib ur Rehman,middle,False,I176601375,Khalifa University of Science and Technology
W3002742063,A5049821727,Davor Svetinović,last,False,I176601375,Khalifa University of Science and Technology
W4288685807,A5078566421,Petar Radanliev,first,True,I40120149,University of Oxford
W4288685807,A5059614463,David De Roure,last,False,I40120149,University of Oxford
W2942073230,A5015550399,Jian Yang,first,True,I92403157,University of Science and Technology Beijing
W2942073230,A5019605142,Chongchong Zhao,middle,False,I92403157,University of Science and Technology Beijing
W2942073230,A5058043497,Chunxiao Xing,last,False,I99065089,Tsinghua University
W3206864493,A5006249627,Jan J. Zygmuntowski,first,True,None,None
W3206864493,A5091394720,Laura Zoboli,middle,False,I4210096386|I4654613|I4210161028,"Bridge University|University of Warsaw|College of Europe, Warsaw"
W3206864493,A5027244331,Paul Nemitz,last,False,None,None
W4284704402,A5089165754,Sachi Chaudhary,first,False,I165831266,Nirma University
W4284704402,A5007421383,Riya Kakkar,middle,False,I165831266,Nirma University
W4284704402,A5044414974,Nilesh Kumar Jadav,middle,False,I165831266,Nirma University
W4284704402,A5022802863,Anuja Nair,middle,True,I165831266,Nirma University
W4284704402,A5058080028,Rajesh Gupta,middle,False,I165831266,Nirma University
W4284704402,A5089077811,Sudeep Tanwar,middle,True,I165831266,Nirma University
W4284704402,A5061026683,Smita Agrawal,middle,True,I165831266,Nirma University
W4284704402,A5027946901,Mohammad Dahman Alshehri,middle,False,I179331831,Taif University
W4284704402,A5056113902,Ravi Sharma,middle,False,I5847235,University of Petroleum and Energy Studies
W4284704402,A5022261598,Gulshan Sharma,middle,False,I24027795,University of Johannesburg
W4284704402,A5079249544,Innocent E. Davidson,last,True,I177181097,Durban University of Technology
W3195579788,A5052333474,Zicun Cong,first,False,I18014758,Simon Fraser University
W3195579788,A5013942355,Xuan Luo,middle,False,I18014758,Simon Fraser University
W3195579788,A5062247330,Jian Pei,middle,False,I18014758,Simon Fraser University
W3195579788,A5003692270,Feida Zhu,middle,False,I79891267,Singapore Management University
W3195579788,A5100419760,Yong Zhang,last,True,I4210115038,Huawei Technologies (Canada)
W4220901737,A5071905963,Stefan Driessen,first,True,I193700539|I4210166725,Tilburg University|HAS green academy
W4220901737,A5072724150,Geert Monsieur,middle,False,I193700539|I4210166725,Tilburg University|HAS green academy
W4220901737,A5049150712,Willem‐Jan van den Heuvel,last,False,I193700539|I4210166725,Tilburg University|HAS green academy
W4281710558,A5003254995,Tejal Rathod,first,False,I165831266,Nirma University
W4281710558,A5044414974,Nilesh Kumar Jadav,middle,False,I165831266,Nirma University
W4281710558,A5027946901,Mohammad Dahman Alshehri,middle,False,I179331831,Taif University
W4281710558,A5089077811,Sudeep Tanwar,middle,True,I165831266,Nirma University
W4281710558,A5056113902,Ravi Sharma,middle,False,I5847235,University of Petroleum and Energy Studies
W4281710558,A5020246701,Raluca‐Andreea Felseghi,middle,True,I12012874,Ştefan cel Mare University of Suceava
W4281710558,A5055678785,Maria Simona Raboacă,last,False,I4210148481,National Institute for Research and Development of Isotopic and Molecular Technologies
W4319769514,A5100961833,Jimin Xu,first,False,I168879160,Zhejiang University of Science and Technology
W4319769514,A5085042913,Nuanxin Hong,middle,False,I168879160,Zhejiang University of Science and Technology
W4319769514,A5070252509,Zhening Xu,middle,False,I168879160,Zhejiang University of Science and Technology
W4319769514,A5079260216,Zhou Zhao,middle,False,I168879160,Zhejiang University of Science and Technology
W4319769514,A5040446988,Chao Wu,middle,False,I168879160,Zhejiang University of Science and Technology
W4319769514,A5041727387,Kun Kuang,middle,True,I168879160,Zhejiang University of Science and Technology
