Source,Target,Raw_Weight_Original,w_ji_original,Raw_Weight_Penalized,w_ji_penalized
W2942073230,W2293940046,0.06124999999999998,0.18977536793183578,0.06124999999999998,0.18977536793183578
W2942073230,W2533772775,0.06124999999999998,0.18977536793183578,0.06124999999999998,0.18977536793183578
W2942073230,W2743929098,0.06124999999999998,0.18977536793183578,0.06124999999999998,0.18977536793183578
W2942073230,W2765365501,0.009,0.027885360185902406,0.009,0.027885360185902406
W2921968831,W2759182208,0.051199999999999996,0.15695892090741875,0.051199999999999996,0.15695892090741875
W2921968831,W2533772775,0.08000000000000002,0.24524831391784188,0.08000000000000002,0.24524831391784188
W2954543879,W2180742472,0.12487500000000001,0.8062953995157385,0.12487500000000001,0.8062953995157385
W2921968831,W1841962286,0.07349999999999998,0.2253218884120171,0.07349999999999998,0.2253218884120171
W3096125752,W2974598553,0.049999999999999996,1.0,0.049999999999999996,1.0
W2310916783,W2168402580,0.008802083333333332,1.0,0.008802083333333332,1.0
W3127298136,W3123243120,0.049999999999999996,0.5,0.049999999999999996,0.5
W3127298136,W3124517880,0.049999999999999996,0.5,0.049999999999999996,0.5
W2743929098,W2293940046,0.02640625,1.0,0.02640625,1.0
W2920282816,W2612128091,0.010666666666666666,0.04831100207586337,0.010666666666666666,0.12359686179843091
W2906578628,W2473283431,0.024975,1.0,0.024975,1.0
W2921968831,W2790400697,0.12150000000000001,0.3724708767627223,0.12150000000000001,0.3724708767627223
W4322604225,W2910976764,0.050625,0.5031055900621119,0.050625,0.5031055900621119
W4319769514,W2293940046,0.06124999999999998,0.44962378418058346,0.06124999999999998,0.44962378418058346
W2920282816,W2920282816,0.12487500000000001,0.5655784110209474,0.031218750000000003,0.3617380808690405
W2097281067,W2097281067,0.049999999999999996,1.0,0.049999999999999996,1.0
W2993467838,W2790400697,0.010666666666666666,1.0,0.010666666666666666,1.0
W4281293246,W2018362551,0.049999999999999996,0.25,0.049999999999999996,0.25
W2920282816,W2168402580,0.023999999999999997,0.10869975467069257,0.023999999999999997,0.27809293904646953
W4281293246,W2920282816,0.049999999999999996,0.25,0.049999999999999996,0.25
W2950902070,W2010653253,0.049999999999999996,0.4940711462450593,0.049999999999999996,0.8300132802124834
W2950902070,W2097281067,0.051199999999999996,0.5059288537549408,0.010239999999999999,0.1699867197875166
W4289544372,W2018362551,0.049999999999999996,0.3304010242431752,0.049999999999999996,0.3304010242431752
W4289544372,W2974598553,0.02640625,0.1744930409284269,0.02640625,0.1744930409284269
W4289544372,W3123243120,0.07492499999999999,0.495105934828398,0.07492499999999999,0.495105934828398
W3021370403,W2790400697,0.12487500000000001,0.7140814867762688,0.12487500000000001,0.7140814867762688
W4284704402,W3215634159,0.06124999999999998,1.0,0.015312499999999995,1.0
W4319769514,W3084177365,0.024975,0.18333639199853186,0.024975,0.18333639199853186
W4390728454,W2790400697,0.049999999999999996,0.5,0.049999999999999996,0.5
W2954543879,W2045522464,0.03,0.19370460048426147,0.03,0.19370460048426147
W2612128091,W2168402580,0.049999999999999996,1.0,0.049999999999999996,1.0
W2327152018,W2010653253,0.0006666666666666666,1.0,0.00013333333333333334,1.0
W4323644227,W2743929098,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W4360991875,W2910976764,0.049999999999999996,0.3333333333333333,0.049999999999999996,0.3333333333333333
W4323644227,W2790400697,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W4323644227,W2765365501,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W4288685807,W2920282816,0.003333333333333333,1.0,0.003333333333333333,1.0
W2067195421,W2010653253,0.12487500000000001,1.0,0.12487500000000001,1.0
W1994174199,W2950902070,0.0006666666666666666,1.0,0.0006666666666666666,1.0
W4281710558,W3215634159,0.049999999999999996,1.0,0.049999999999999996,1.0
W2180742472,W2097281067,0.03674999999999998,0.2687385740402192,0.007349999999999996,0.06846762925011642
W4293428560,W3215634159,0.021093749999999998,1.0,0.007031249999999999,1.0
W4388068877,W2293940046,0.049999999999999996,0.5,0.049999999999999996,0.5
W4323644227,W2734426755,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W4388068877,W3084177365,0.049999999999999996,0.5,0.049999999999999996,0.5
W2994622980,W2289113545,0.03,0.19801980198019797,0.03,0.19801980198019797
W2994622980,W2790400697,0.12150000000000001,0.8019801980198019,0.12150000000000001,0.8019801980198019
W4386021011,W3084177365,0.003333333333333333,1.0,0.003333333333333333,1.0
W2920282816,W2734426755,0.06124999999999998,0.27741083223249663,0.02041666666666666,0.2365721182860591
W2581979418,W1998665878,0.024300000000000002,1.0,0.0081,1.0
W2180742472,W2010653253,0.049999999999999996,0.3656307129798903,0.049999999999999996,0.4657661853749418
W2293940046,W2168402580,0.12487500000000001,1.0,0.0208125,1.0
W2011238498,W3124517880,0.00016666666666666666,0.0033222591362126247,0.00016666666666666666,0.0033222591362126247
W2734445852,W2293940046,0.09934374999999998,1.0,0.09934374999999998,1.0
W4382600626,W3123243120,0.049999999999999996,0.5,0.049999999999999996,0.5
W2126626399,W2168402580,0.024975,1.0,0.024975,1.0
W4382600626,W2974598553,0.049999999999999996,0.5,0.049999999999999996,0.5
W3215634159,W3121615946,0.0006666666666666666,1.0,0.0006666666666666666,1.0
W4323644227,W3084177365,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W2123954539,W1777686370,0.07526041666666666,0.33410404624277457,0.07526041666666666,0.33410404624277457
W1777686370,W2150449738,0.049999999999999996,1.0,0.049999999999999996,1.0
W3209462287,W2974598553,0.002,1.0,0.002,1.0
W4323644227,W2919782326,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W2190764372,W2067195421,0.049999999999999996,1.0,0.049999999999999996,1.0
W3084177365,W4243417153,0.049999999999999996,0.052540324699206636,0.049999999999999996,0.052540324699206636
W4319769514,W3195579788,0.049999999999999996,0.36703982382088457,0.049999999999999996,0.36703982382088457
W3084177365,W2919782326,0.049999999999999996,0.052540324699206636,0.049999999999999996,0.052540324699206636
W3195579788,W3089176333,0.049999999999999996,0.08613882707630464,0.049999999999999996,0.08613882707630464
W4310251148,W3014121762,0.049999999999999996,0.5,0.049999999999999996,0.5
W4220799794,W3021370403,0.049999999999999996,1.0,0.049999999999999996,1.0
W4310251148,W3040491562,0.049999999999999996,0.5,0.049999999999999996,0.5
W3084177365,W2126626399,0.049999999999999996,0.052540324699206636,0.049999999999999996,0.052540324699206636
W3195579788,W2126626399,0.049999999999999996,0.08613882707630464,0.049999999999999996,0.08613882707630464
W4323644227,W2916829860,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W4226305897,W2126626399,0.049999999999999996,0.08056611120808885,0.049999999999999996,0.08056611120808885
W4281293246,W2916829860,0.049999999999999996,0.25,0.049999999999999996,0.25
