Source,Target,Source_Clean,Target_Clean,is_author_self_cite,is_inst_self_cite,shared_authors_count
https://openalex.org/W2954543879,https://openalex.org/W2180742472,W2954543879,W2180742472,False,False,0
https://openalex.org/W2921968831,https://openalex.org/W1841962286,W2921968831,W1841962286,False,False,0
https://openalex.org/W3096125752,https://openalex.org/W2974598553,W3096125752,W2974598553,False,True,0
https://openalex.org/W2310916783,https://openalex.org/W2168402580,W2310916783,W2168402580,False,False,0
https://openalex.org/W3127298136,https://openalex.org/W3123243120,W3127298136,W3123243120,False,True,0
https://openalex.org/W3127298136,https://openalex.org/W3124517880,W3127298136,W3124517880,False,False,0
https://openalex.org/W2743929098,https://openalex.org/W2293940046,W2743929098,W2293940046,False,False,0
https://openalex.org/W2920282816,https://openalex.org/W2612128091,W2920282816,W2612128091,False,False,0
https://openalex.org/W2906578628,https://openalex.org/W2473283431,W2906578628,W2473283431,False,False,0
https://openalex.org/W2921968831,https://openalex.org/W2790400697,W2921968831,W2790400697,False,False,0
https://openalex.org/W4322604225,https://openalex.org/W2910976764,W4322604225,W2910976764,False,False,0
